pid,key.d_arrive,key.d_sacrifice,key.intervention,group,sex,sample_count
10675086,09OCT2018,23JAN2019,training (phase 1b),1w,male,1
10677887,09OCT2018,23JAN2019,training (phase 1b),1w,male,2
10434046,09OCT2018,28JAN2019,training (phase 1b),2w,male,1
10436170,09OCT2018,28JAN2019,training (phase 1b),2w,male,1
10472053,09OCT2018,28JAN2019,training (phase 1b),2w,male,1
10486003,09OCT2018,28JAN2019,training (phase 1b),2w,male,126
10496580,09OCT2018,28JAN2019,training (phase 1b),2w,male,1
10502300,09OCT2018,29JAN2019,training (phase 1b),2w,male,128
10531599,09OCT2018,29JAN2019,training (phase 1b),2w,male,1
10564179,09OCT2018,29JAN2019,training (phase 1b),2w,male,1
10587543,09OCT2018,29JAN2019,training (phase 1b),2w,male,111
10589325,09OCT2018,29JAN2019,training (phase 1b),2w,male,9
10591575,09OCT2018,30JAN2019,training (phase 1b),2w,male,1
10611193,09OCT2018,30JAN2019,training (phase 1b),2w,male,1
10637079,09OCT2018,30JAN2019,training (phase 1b),2w,male,1
10641858,09OCT2018,30JAN2019,training (phase 1b),2w,male,127
10672656,09OCT2018,30JAN2019,training (phase 1b),2w,male,111
10059369,07AUG2018,12NOV2018,training (phase 1b),4w,male,2
10063633,07AUG2018,12NOV2018,training (phase 1b),4w,male,1
10085017,07AUG2018,12NOV2018,training (phase 1b),4w,male,1
10088113,07AUG2018,12NOV2018,training (phase 1b),4w,male,1
10093702,07AUG2018,12NOV2018,training (phase 1b),4w,male,1
10095241,07AUG2018,13NOV2018,training (phase 1b),4w,male,127
10106383,07AUG2018,13NOV2018,training (phase 1b),4w,male,112
10136967,07AUG2018,13NOV2018,training (phase 1b),4w,male,1
10139044,07AUG2018,13NOV2018,training (phase 1b),4w,male,127
10139710,07AUG2018,13NOV2018,training (phase 1b),4w,male,1
10152148,07AUG2018,14NOV2018,training (phase 1b),4w,male,2
10171010,07AUG2018,14NOV2018,training (phase 1b),4w,male,1
10175431,07AUG2018,14NOV2018,training (phase 1b),4w,male,1
10179267,07AUG2018,14NOV2018,training (phase 1b),4w,male,1
10185585,07AUG2018,15NOV2018,training (phase 1b),4w,male,112
10204989,07AUG2018,15NOV2018,training (phase 1b),4w,male,12
10219315,07AUG2018,15NOV2018,training (phase 1b),4w,male,1
10220917,07AUG2018,15NOV2018,training (phase 1b),4w,male,123
10024735,05JUN2018,03SEP2018,training (phase 1b),8w,male,122
10025626,05JUN2018,04SEP2018,training (phase 1b),8w,male,121
10025707,05JUN2018,04SEP2018,training (phase 1b),8w,male,106
10025898,05JUN2018,04SEP2018,training (phase 1b),8w,male,1
10025979,05JUN2018,05SEP2018,training (phase 1b),8w,male,124
10026193,05JUN2018,05SEP2018,training (phase 1b),8w,male,106
10026436,05JUN2018,05SEP2018,training (phase 1b),8w,male,1
10026940,05JUN2018,06SEP2018,training (phase 1b),8w,male,1
10027084,05JUN2018,06SEP2018,training (phase 1b),8w,male,1
10027165,05JUN2018,06SEP2018,training (phase 1b),8w,male,11
10027246,05JUN2018,06SEP2018,training (phase 1b),8w,male,1
10027408,05JUN2018,07SEP2018,training (phase 1b),8w,male,3
10027912,05JUN2018,07SEP2018,training (phase 1b),8w,male,2
10023259,05JUN2018,03SEP2018,control,control,male,124
10024816,05JUN2018,03SEP2018,control,control,male,1
10025464,05JUN2018,04SEP2018,control,control,male,2
10025545,05JUN2018,04SEP2018,control,control,male,1
10026002,05JUN2018,05SEP2018,control,control,male,1
10026274,05JUN2018,05SEP2018,control,control,male,2
10026355,05JUN2018,05SEP2018,control,control,male,125
10026517,05JUN2018,06SEP2018,control,control,male,10
10026789,05JUN2018,06SEP2018,control,control,male,125
10027327,05JUN2018,07SEP2018,control,control,male,112
10027599,05JUN2018,07SEP2018,control,control,male,110
10027831,05JUN2018,07SEP2018,control,control,male,1
