pid,sex,group,visit1_date,visit2_date,visit1_blactate_begin,visit2_blactate_begin,visit1_vo2_max,visit2_vo2_max,visit1_vco2_max,visit2_vco2_max,visit1_rer_max,visit2_rer_max,visit1_speed_max,visit2_speed_max,visit1_blactate_end,visit2_blactate_end,visit1_comments,visit2_comments
10179267,male,4w,10OCT2018,08NOV2018,1.5,1.2,65.39,64.87,69.39,71.69,1.14,1.12,21.6,23.4,9.7,11.8,,Max Speed: 23.4 m/min at 15 degree
10185585,male,4w,11OCT2018,09NOV2018,1.4,1.6,69.4,70.01,74.3,73.62,1.07,1.06,19.8,23.4,6.3,10.2,,Max Speed: 23.4 m/min at 15 degree
10204989,male,4w,11OCT2018,09NOV2018,1.2,1.3,69.41,68.73,70.3,70.69,1.08,1.03,19.8,23.4,4.4,8.4,,Max Speed: 23.4 m/min at 15 degree
10219315,male,4w,11OCT2018,09NOV2018,1.3,1.8,66.47,65.46,67.7,69.12,1.07,1.06,21.6,23.4,12.9,11.4,,Max Speed: 23.4 m/min at 15 degree
10220917,male,4w,11OCT2018,09NOV2018,1.5,1.8,62.76,64.75,69.55,67.89,1.1,1.06,23.4,23.4,15.5,11.2,,Max Speed: 23.4 m/min at 15 degree
10024735,male,8w,02JUL2018,28AUG2018,1.2,2.2,72.6,81.32,75.58,85.61,1.04,1.05,21.6,32.4,11.9,7.2,,
10025626,male,8w,03JUL2018,29AUG2018,2.2,2.1,65.15,79.69,64.8,79.05,0.99,1.04,19.8,32.4,8.7,6.7,,
10025707,male,8w,03JUL2018,29AUG2018,1.8,2.1,60.42,78.77,62.42,81.68,1.03,1.05,19.8,32.4,7.3,8,,
10025898,male,8w,03JUL2018,29AUG2018,1.6,1.6,68.45,78.55,69.99,81.87,1.02,1.04,21.6,30.6,8.3,7.5,,
10025979,male,8w,04JUL2018,30AUG2018,1.6,2,64.01,76.23,65.01,76.5,1.03,1.01,19.8,28.8,7.5,8.4,,
10026193,male,8w,04JUL2018,30AUG2018,1.2,1.5,65.77,69.34,70.16,68.44,1.08,0.99,19.8,32.4,8.3,4.1,"Rat appeared to be at max speed (19.8 m/min), so speed wasn't increased to 21.6 m/min. However, RER flattened and dropped toward the end. When the speed was going to be increased after noticing the drop of RER, the rat was already exhausted so the test ended with a speed of 19.8 m/min",
